partipcod,parnom,disnom,cornom,nivel,latitud,longitud,tipodet,ts,nivel_lbl
1,Av Alfredo Benavides-Ca Marco Skenome,Miraflores,NA,1,-12.128448,-77.003448,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Entre Ca Mosto Y Ca Tenaud,Santiago De Surco,NA,1,-12.12856,-76.996521,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Entre Casor Mate Y Ca04,Santiago De Surco,NA,1,-12.128279,-77.005936,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Alameda Central,Independencia,NA,2,-11.982282,-77.0653,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Mendiola (Principal)-Alameda De Los Portales,Los Olivos,NA,2,-11.942519,-77.071587,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Mendiola (Principal)-Av Angelica Gamarra,Los Olivos,NA,1,-12.003689,-77.062225,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Av Carlos Izaguirre,Independencia,NA,1,-11.988998,-77.063667,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Av Fiori,San Martin De Porres,NA,1,-12.010736,-77.060524,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Av Honorio Delgado,San Martin De Porres,NA,3,-12.025514,-77.058342,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfredo Mendiola (Principal)-Av Las Acuarinas,Los Olivos,NA,3,-11.986444,-77.065094,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfredo Mendiola (Principal)-Av Lima,San Martin De Porres,NA,3,-12.030637,-77.056953,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfredo Mendiola (Principal)-Av Tomas Valle,Independencia,NA,1,-12.006673,-77.061371,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Ca Federico Villarreal,San Martin De Porres,NA,3,-12.030057,-77.056839,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfredo Mendiola (Principal)-Ca Hornos,Los Olivos,NA,1,-11.974409,-77.066338,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Ca Jose Salazar (Puente Peatonal Ingreso A Megaplaza),Los Olivos,NA,1,-11.994506,-77.06382,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Ca Las Limas,Independencia,NA,2,-11.985546,-77.064278,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Mendiola (Principal)-Ca Las Prensas,Independencia,NA,2,-11.981165,-77.065361,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Mendiola (Principal)-Ca Rlo Santa,Los Olivos,NA,1,-11.94957,-77.070648,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Ca Santa M Nica,Comas,NA,1,-11.948906,-77.070145,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Ca Simon Bolivar,San Martin De Porres,NA,4,-12.023161,-77.058699,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Alfredo Mendiola (Principal)-Jr Bartolome Herrera,San Martin De Porres,NA,3,-12.02556,-77.058784,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Alfredo Mendiola (Principal)-Psje Francisco Ayarza,Los Olivos,NA,1,-11.991019,-77.0644,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Psje Urubamba,Los Olivos,NA,1,-11.973459,-77.066803,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola (Principal)-Puente Peatonal Ingreso A Mega Plaza,Independencia,NA,1,-11.994492,-77.063179,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Mendiola-Av Proceres De Huandoy,Comas,NA,1,-11.938175,-77.071548,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alipio Ponche Vasquez-Ca Los Alamos,San Juan De Miraflores,NA,1,-12.170322,-76.98027,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alto De La Alianza-Jr Garcia Naranjo,Lima,NA,3,-12.057803,-77.011337,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Andres A Caceres-Ca Irribarren,Miraflores,NA,3,-12.119727,-77.021393,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av Andres A Caceres-Ca J Fernandez,Miraflores,NA,4,-12.119582841,-77.019412601,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Andres Avelino Caceres-Av Circunvalacion,Ate,NA,1,-12.005956,-76.829414,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Andres Avelino Caceres-Av El Pozo,Ate,NA,1,-11.998791,-76.833672000000007,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Andres Avelino Caceres-Av Jose Carlos Mariategui,Ate,NA,2,-12.015209,-76.818954,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Andres Avelino Caceres-Av Los Incas,Ate,NA,1,-12.002128,-76.83194,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Andres Avelino Caceres-Av 15 De Julio,Ate,NA,2,-12.009617,-76.822044,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Andres Avelino Caceres-Calle S/N ( Forntis Del Colegio Manuel Gonzales Prada),Ate,NA,2,-12.012098,-76.820419,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Andres Avelino Caceres-Calle S/N (Frontis Del Colegio Manuel Gonzales Prada,Ate,NA,2,-12.012252,-76.82019,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Andres Avelino Caceres-Calle Uno,Ate,NA,1,-12.000412,-76.826447,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Andres Avelino Caceres-Carretera Central,Ate,NA,1,-11.996988,-76.834442,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Angamos Este (Via Auxiliar Intercambio Vial)-Ca Intihuatana,Surquillo,NA,1,-12.111359,-76.993736,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Angamos Este-Av Arequipa,Miraflores,NA,2,-12.113664,-77.029465,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Este-Av Aviacion,San Borja,NA,2,-12.111617,-76.999802,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Este-Av Francisco Moreno,Surquillo,NA,4,-12.113549,-77.024605,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Av Paseo De La Republica,Surquillo,NA,4,-12.11331737,-77.025192539,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Av Principal,Surquillo,NA,2,-12.112306,-77.007446,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Este-Av R Malachowsky,San Borja,NA,4,-12.111844722,-77.003162851,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Av Republica De Panama,Surquillo,NA,4,-12.112859003,-77.018120019,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Av Tomas Marsano,Surquillo,NA,4,-12.112420615,-77.011738005,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Ca Emilio Harth,San Borja,NA,4,-12.112023891,-77.006099914,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Ca Fuentes,Surquillo,NA,4,-12.112092514,-77.003762582,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Ca Suarez,Miraflores,NA,2,-12.113559,-77.027153,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Angamos Este-Jr Dante Alcocer,Surquillo,NA,4,-12.113173248,-77.023063555,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Jr Jose Manuel Irribarren,Surquillo,NA,4,-12.113373,-77.022522,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Jr Miguel Iglesias,San Borja,NA,4,-12.112276717,-77.009438869,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Jr San Felipe,Surquillo,NA,4,-12.112718832,-77.016106291,Transporte Regular,2021-05-15T20:22:17Z,Extremo
1,Av Angamos Este-Psje F4,San Borja,NA,2,-12.111522,-76.998482,Transporte Regular,2021-05-15T20:22:17Z,Alto
